years,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MKD,MLI,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2117,0.9%,2.2%,0.8%,#DIV/0!,2.2%,1.1%,0.7%,1.1%,0.8%,0.8%,0.7%,2.2%,0.8%,2.2%,2.2%,0.9%,0.8%,2.2%,1.1%,0.8%,0.7%,1.1%,1.1%,1.1%,1.1%,1.1%,0.9%,0.9%,2.2%,2.2%,0.8%,0.8%,1.1%,0.9%,2.2%,2.2%,2.2%,2.2%,1.1%,2.2%,2.2%,1.1%,#DIV/0!,0.8%,0.8%,0.8%,2.2%,1.1%,0.8%,1.1%,2.2%,1.1%,2.2%,2.2%,#DIV/0!,0.8%,0.8%,2.2%,0.8%,0.9%,0.8%,0.9%,2.2%,0.8%,0.7%,2.2%,2.2%,#DIV/0!,2.2%,2.2%,2.2%,0.8%,1.1%,1.1%,#DIV/0!,1.1%,0.9%,1.1%,0.8%,1.1%,0.8%,0.9%,0.9%,0.8%,2.2%,2.2%,0.8%,0.8%,0.8%,1.1%,2.2%,0.9%,0.7%,2.2%,0.7%,0.9%,1.1%,0.9%,2.2%,0.9%,2.2%,2.2%,2.2%,#DIV/0!,0.9%,2.2%,0.8%,0.8%,0.8%,2.2%,0.7%,2.2%,1.1%,0.8%,2.2%,0.9%,0.8%,0.9%,2.2%,2.2%,#DIV/0!,2.2%,2.2%,0.9%,2.2%,#DIV/0!,2.2%,2.2%,1.1%,0.8%,0.8%,0.9%,0.9%,0.8%,2.2%,0.9%,1.1%,1.1%,0.9%,0.9%,0.9%,0.8%,1.1%,#DIV/0!,0.8%,1.1%,2.2%,2.2%,#DIV/0!,0.8%,0.7%,2.2%,2.2%,2.2%,2.2%,0.9%,2.2%,1.1%,0.8%,#DIV/0!,0.8%,2.2%,2.2%,1.1%,0.8%,0.8%,0.8%,#DIV/0!,2.2%,2.2%,0.9%,0.7%,0.7%,0.9%,0.9%,1.1%,2.2%,0.8%,0.9%,#DIV/0!,2.2%,2.2%,0.7%,1.1%,0.8%,0.7%,1.1%,0.9%,0.9%,0.9%,2.2%,2.2%,2.2%,2.2%
2118,0.9%,2.1%,0.8%,#DIV/0!,2.1%,1.1%,0.7%,1.1%,0.8%,0.8%,0.7%,2.1%,0.8%,2.1%,2.1%,0.9%,0.8%,2.1%,1.1%,0.8%,0.7%,1.1%,1.1%,1.1%,1.1%,1.1%,0.9%,0.9%,2.1%,2.1%,0.8%,0.8%,1.1%,0.9%,2.1%,2.1%,2.1%,2.1%,1.1%,2.1%,2.1%,1.1%,#DIV/0!,0.8%,0.8%,0.8%,2.1%,1.1%,0.8%,1.1%,2.1%,1.1%,2.1%,2.1%,#DIV/0!,0.8%,0.8%,2.1%,0.8%,0.9%,0.8%,0.9%,2.1%,0.8%,0.7%,2.1%,2.1%,#DIV/0!,2.1%,2.1%,2.1%,0.8%,1.1%,1.1%,#DIV/0!,1.1%,0.9%,1.1%,0.8%,1.1%,0.8%,0.9%,0.9%,0.8%,2.1%,2.1%,0.8%,0.8%,0.8%,1.1%,2.1%,0.9%,0.7%,2.1%,0.7%,0.9%,1.1%,0.9%,2.1%,0.9%,2.1%,2.1%,2.1%,#DIV/0!,0.9%,2.1%,0.8%,0.8%,0.8%,2.1%,0.7%,2.1%,1.1%,0.8%,2.1%,0.9%,0.8%,0.9%,2.1%,2.1%,#DIV/0!,2.1%,2.1%,0.9%,2.1%,#DIV/0!,2.1%,2.1%,1.1%,0.8%,0.8%,0.9%,0.9%,0.8%,2.1%,0.9%,1.1%,1.1%,0.9%,0.9%,0.9%,0.8%,1.1%,#DIV/0!,0.8%,1.1%,2.1%,2.1%,#DIV/0!,0.8%,0.7%,2.1%,2.1%,2.1%,2.1%,0.9%,2.1%,1.1%,0.8%,#DIV/0!,0.8%,2.1%,2.1%,1.1%,0.8%,0.8%,0.8%,#DIV/0!,2.1%,2.1%,0.9%,0.7%,0.7%,0.9%,0.9%,1.1%,2.1%,0.8%,0.9%,#DIV/0!,2.1%,2.1%,0.7%,1.1%,0.8%,0.7%,1.1%,0.9%,0.9%,0.9%,2.1%,2.1%,2.1%,2.1%
2119,0.9%,2.1%,0.8%,#DIV/0!,2.1%,1.1%,0.7%,1.1%,0.8%,0.8%,0.7%,2.1%,0.8%,2.1%,2.1%,0.9%,0.8%,2.1%,1.1%,0.8%,0.7%,1.1%,1.1%,1.1%,1.1%,1.1%,0.9%,0.9%,2.1%,2.1%,0.8%,0.8%,1.1%,0.9%,2.1%,2.1%,2.1%,2.1%,1.1%,2.1%,2.1%,1.1%,#DIV/0!,0.8%,0.8%,0.8%,2.1%,1.1%,0.8%,1.1%,2.1%,1.1%,2.1%,2.1%,#DIV/0!,0.8%,0.8%,2.1%,0.8%,0.9%,0.8%,0.9%,2.1%,0.8%,0.7%,2.1%,2.1%,#DIV/0!,2.1%,2.1%,2.1%,0.8%,1.1%,1.1%,#DIV/0!,1.1%,0.9%,1.1%,0.8%,1.1%,0.8%,0.9%,0.9%,0.8%,2.1%,2.1%,0.8%,0.8%,0.8%,1.1%,2.1%,0.9%,0.7%,2.1%,0.7%,0.9%,1.1%,0.9%,2.1%,0.9%,2.1%,2.1%,2.1%,#DIV/0!,0.9%,2.1%,0.8%,0.8%,0.8%,2.1%,0.7%,2.1%,1.1%,0.8%,2.1%,0.9%,0.8%,0.9%,2.1%,2.1%,#DIV/0!,2.1%,2.1%,0.9%,2.1%,#DIV/0!,2.1%,2.1%,1.1%,0.8%,0.8%,0.9%,0.9%,0.8%,2.1%,0.9%,1.1%,1.1%,0.9%,0.9%,0.9%,0.8%,1.1%,#DIV/0!,0.8%,1.1%,2.1%,2.1%,#DIV/0!,0.8%,0.7%,2.1%,2.1%,2.1%,2.1%,0.9%,2.1%,1.1%,0.8%,#DIV/0!,0.8%,2.1%,2.1%,1.1%,0.8%,0.8%,0.8%,#DIV/0!,2.1%,2.1%,0.9%,0.7%,0.7%,0.9%,0.9%,1.1%,2.1%,0.8%,0.9%,#DIV/0!,2.1%,2.1%,0.7%,1.1%,0.8%,0.7%,1.1%,0.9%,0.9%,0.9%,2.1%,2.1%,2.1%,2.1%
2120,0.9%,2.1%,0.8%,#DIV/0!,2.1%,1.1%,0.7%,1.1%,0.8%,0.8%,0.7%,2.1%,0.8%,2.1%,2.1%,0.9%,0.8%,2.1%,1.1%,0.8%,0.7%,1.1%,1.1%,1.1%,1.1%,1.1%,0.9%,0.9%,2.1%,2.1%,0.8%,0.8%,1.1%,0.9%,2.1%,2.1%,2.1%,2.1%,1.1%,2.1%,2.1%,1.1%,#DIV/0!,0.8%,0.8%,0.8%,2.1%,1.1%,0.8%,1.1%,2.1%,1.1%,2.1%,2.1%,#DIV/0!,0.8%,0.8%,2.1%,0.8%,0.9%,0.8%,0.9%,2.1%,0.8%,0.7%,2.1%,2.1%,#DIV/0!,2.1%,2.1%,2.1%,0.8%,1.1%,1.1%,#DIV/0!,1.1%,0.9%,1.1%,0.8%,1.1%,0.8%,0.9%,0.9%,0.8%,2.1%,2.1%,0.8%,0.8%,0.8%,1.1%,2.1%,0.9%,0.7%,2.1%,0.7%,0.9%,1.1%,0.9%,2.1%,0.9%,2.1%,2.1%,2.1%,#DIV/0!,0.9%,2.1%,0.8%,0.8%,0.8%,2.1%,0.7%,2.1%,1.1%,0.8%,2.1%,0.9%,0.8%,0.9%,2.1%,2.1%,#DIV/0!,2.1%,2.1%,0.9%,2.1%,#DIV/0!,2.1%,2.1%,1.1%,0.8%,0.8%,0.9%,0.9%,0.8%,2.1%,0.9%,1.1%,1.1%,0.9%,0.9%,0.9%,0.8%,1.1%,#DIV/0!,0.8%,1.1%,2.1%,2.1%,#DIV/0!,0.8%,0.7%,2.1%,2.1%,2.1%,2.1%,0.9%,2.1%,1.1%,0.8%,#DIV/0!,0.8%,2.1%,2.1%,1.1%,0.8%,0.8%,0.8%,#DIV/0!,2.1%,2.1%,0.9%,0.7%,0.7%,0.9%,0.9%,1.1%,2.1%,0.8%,0.9%,#DIV/0!,2.1%,2.1%,0.7%,1.1%,0.8%,0.7%,1.1%,0.9%,0.9%,0.9%,2.1%,2.1%,2.1%,2.1%
2121,0.9%,2.1%,0.8%,#DIV/0!,2.1%,1.1%,0.7%,1.1%,0.8%,0.8%,0.7%,2.1%,0.8%,2.1%,2.1%,0.9%,0.8%,2.1%,1.1%,0.8%,0.7%,1.1%,1.1%,1.1%,1.1%,1.1%,0.9%,0.9%,2.1%,2.1%,0.8%,0.8%,1.1%,0.9%,2.1%,2.1%,2.1%,2.1%,1.1%,2.1%,2.1%,1.1%,#DIV/0!,0.8%,0.8%,0.8%,2.1%,1.1%,0.8%,1.1%,2.1%,1.1%,2.1%,2.1%,#DIV/0!,0.8%,0.8%,2.1%,0.8%,0.9%,0.8%,0.9%,2.1%,0.8%,0.7%,2.1%,2.1%,#DIV/0!,2.1%,2.1%,2.1%,0.8%,1.1%,1.1%,#DIV/0!,1.1%,0.9%,1.1%,0.8%,1.1%,0.8%,0.9%,0.9%,0.8%,2.1%,2.1%,0.8%,0.8%,0.8%,1.1%,2.1%,0.9%,0.7%,2.1%,0.7%,0.9%,1.1%,0.9%,2.1%,0.9%,2.1%,2.1%,2.1%,#DIV/0!,0.9%,2.1%,0.8%,0.8%,0.8%,2.1%,0.7%,2.1%,1.1%,0.8%,2.1%,0.9%,0.8%,0.9%,2.1%,2.1%,#DIV/0!,2.1%,2.1%,0.9%,2.1%,#DIV/0!,2.1%,2.1%,1.1%,0.8%,0.8%,0.9%,0.9%,0.8%,2.1%,0.9%,1.1%,1.1%,0.9%,0.9%,0.9%,0.8%,1.1%,#DIV/0!,0.8%,1.1%,2.1%,2.1%,#DIV/0!,0.8%,0.7%,2.1%,2.1%,2.1%,2.1%,0.9%,2.1%,1.1%,0.8%,#DIV/0!,0.8%,2.1%,2.1%,1.1%,0.8%,0.8%,0.8%,#DIV/0!,2.1%,2.1%,0.9%,0.7%,0.7%,0.9%,0.9%,1.1%,2.1%,0.8%,0.9%,#DIV/0!,2.1%,2.1%,0.7%,1.1%,0.8%,0.7%,1.1%,0.9%,0.9%,0.9%,2.1%,2.1%,2.1%,2.1%
2122,0.9%,2.1%,0.8%,#DIV/0!,2.1%,1.1%,0.7%,1.1%,0.8%,0.8%,0.7%,2.1%,0.8%,2.1%,2.1%,0.9%,0.8%,2.1%,1.1%,0.8%,0.7%,1.1%,1.1%,1.1%,1.1%,1.1%,0.9%,0.9%,2.1%,2.1%,0.8%,0.8%,1.1%,0.9%,2.1%,2.1%,2.1%,2.1%,1.1%,2.1%,2.1%,1.1%,#DIV/0!,0.8%,0.8%,0.8%,2.1%,1.1%,0.8%,1.1%,2.1%,1.1%,2.1%,2.1%,#DIV/0!,0.8%,0.8%,2.1%,0.8%,0.9%,0.8%,0.9%,2.1%,0.8%,0.7%,2.1%,2.1%,#DIV/0!,2.1%,2.1%,2.1%,0.8%,1.1%,1.1%,#DIV/0!,1.1%,0.9%,1.1%,0.8%,1.1%,0.8%,0.9%,0.9%,0.8%,2.1%,2.1%,0.8%,0.8%,0.8%,1.1%,2.1%,0.9%,0.7%,2.1%,0.7%,0.9%,1.1%,0.9%,2.1%,0.9%,2.1%,2.1%,2.1%,#DIV/0!,0.9%,2.1%,0.8%,0.8%,0.8%,2.1%,0.7%,2.1%,1.1%,0.8%,2.1%,0.9%,0.8%,0.9%,2.1%,2.1%,#DIV/0!,2.1%,2.1%,0.9%,2.1%,#DIV/0!,2.1%,2.1%,1.1%,0.8%,0.8%,0.9%,0.9%,0.8%,2.1%,0.9%,1.1%,1.1%,0.9%,0.9%,0.9%,0.8%,1.1%,#DIV/0!,0.8%,1.1%,2.1%,2.1%,#DIV/0!,0.8%,0.7%,2.1%,2.1%,2.1%,2.1%,0.9%,2.1%,1.1%,0.8%,#DIV/0!,0.8%,2.1%,2.1%,1.1%,0.8%,0.8%,0.8%,#DIV/0!,2.1%,2.1%,0.9%,0.7%,0.7%,0.9%,0.9%,1.1%,2.1%,0.8%,0.9%,#DIV/0!,2.1%,2.1%,0.7%,1.1%,0.8%,0.7%,1.1%,0.9%,0.9%,0.9%,2.1%,2.1%,2.1%,2.1%
2123,0.9%,2.0%,0.8%,#DIV/0!,2.0%,1.1%,0.7%,1.1%,0.8%,0.8%,0.7%,2.0%,0.8%,2.0%,2.0%,0.9%,0.8%,2.0%,1.1%,0.8%,0.7%,1.1%,1.1%,1.1%,1.1%,1.1%,0.9%,0.9%,2.0%,2.0%,0.8%,0.8%,1.1%,0.9%,2.0%,2.0%,2.0%,2.0%,1.1%,2.0%,2.0%,1.1%,#DIV/0!,0.8%,0.8%,0.8%,2.0%,1.1%,0.8%,1.1%,2.0%,1.1%,2.0%,2.0%,#DIV/0!,0.8%,0.8%,2.0%,0.8%,0.9%,0.8%,0.9%,2.0%,0.8%,0.7%,2.0%,2.0%,#DIV/0!,2.0%,2.0%,2.0%,0.8%,1.1%,1.1%,#DIV/0!,1.1%,0.9%,1.1%,0.8%,1.1%,0.8%,0.9%,0.9%,0.8%,2.0%,2.0%,0.8%,0.8%,0.8%,1.1%,2.0%,0.9%,0.7%,2.0%,0.7%,0.9%,1.1%,0.9%,2.0%,0.9%,2.0%,2.0%,2.0%,#DIV/0!,0.9%,2.0%,0.8%,0.8%,0.8%,2.0%,0.7%,2.0%,1.1%,0.8%,2.0%,0.9%,0.8%,0.9%,2.0%,2.0%,#DIV/0!,2.0%,2.0%,0.9%,2.0%,#DIV/0!,2.0%,2.0%,1.1%,0.8%,0.8%,0.9%,0.9%,0.8%,2.0%,0.9%,1.1%,1.1%,0.9%,0.9%,0.9%,0.8%,1.1%,#DIV/0!,0.8%,1.1%,2.0%,2.0%,#DIV/0!,0.8%,0.7%,2.0%,2.0%,2.0%,2.0%,0.9%,2.0%,1.1%,0.8%,#DIV/0!,0.8%,2.0%,2.0%,1.1%,0.8%,0.8%,0.8%,#DIV/0!,2.0%,2.0%,0.9%,0.7%,0.7%,0.9%,0.9%,1.1%,2.0%,0.8%,0.9%,#DIV/0!,2.0%,2.0%,0.7%,1.1%,0.8%,0.7%,1.1%,0.9%,0.9%,0.9%,2.0%,2.0%,2.0%,2.0%
2124,0.9%,2.0%,0.8%,#DIV/0!,2.0%,1.1%,0.7%,1.1%,0.8%,0.8%,0.7%,2.0%,0.8%,2.0%,2.0%,0.9%,0.8%,2.0%,1.1%,0.8%,0.7%,1.1%,1.1%,1.1%,1.1%,1.1%,0.9%,0.9%,2.0%,2.0%,0.8%,0.8%,1.1%,0.9%,2.0%,2.0%,2.0%,2.0%,1.1%,2.0%,2.0%,1.1%,#DIV/0!,0.8%,0.8%,0.8%,2.0%,1.1%,0.8%,1.1%,2.0%,1.1%,2.0%,2.0%,#DIV/0!,0.8%,0.8%,2.0%,0.8%,0.9%,0.8%,0.9%,2.0%,0.8%,0.7%,2.0%,2.0%,#DIV/0!,2.0%,2.0%,2.0%,0.8%,1.1%,1.1%,#DIV/0!,1.1%,0.9%,1.1%,0.8%,1.1%,0.8%,0.9%,0.9%,0.8%,2.0%,2.0%,0.8%,0.8%,0.8%,1.1%,2.0%,0.9%,0.7%,2.0%,0.7%,0.9%,1.1%,0.9%,2.0%,0.9%,2.0%,2.0%,2.0%,#DIV/0!,0.9%,2.0%,0.8%,0.8%,0.8%,2.0%,0.7%,2.0%,1.1%,0.8%,2.0%,0.9%,0.8%,0.9%,2.0%,2.0%,#DIV/0!,2.0%,2.0%,0.9%,2.0%,#DIV/0!,2.0%,2.0%,1.1%,0.8%,0.8%,0.9%,0.9%,0.8%,2.0%,0.9%,1.1%,1.1%,0.9%,0.9%,0.9%,0.8%,1.1%,#DIV/0!,0.8%,1.1%,2.0%,2.0%,#DIV/0!,0.8%,0.7%,2.0%,2.0%,2.0%,2.0%,0.9%,2.0%,1.1%,0.8%,#DIV/0!,0.8%,2.0%,2.0%,1.1%,0.8%,0.8%,0.8%,#DIV/0!,2.0%,2.0%,0.9%,0.7%,0.7%,0.9%,0.9%,1.1%,2.0%,0.8%,0.9%,#DIV/0!,2.0%,2.0%,0.7%,1.1%,0.8%,0.7%,1.1%,0.9%,0.9%,0.9%,2.0%,2.0%,2.0%,2.0%
2125,0.9%,2.0%,0.8%,#DIV/0!,2.0%,1.1%,0.7%,1.1%,0.8%,0.8%,0.7%,2.0%,0.8%,2.0%,2.0%,0.9%,0.8%,2.0%,1.1%,0.8%,0.7%,1.1%,1.1%,1.1%,1.1%,1.1%,0.9%,0.9%,2.0%,2.0%,0.8%,0.8%,1.1%,0.9%,2.0%,2.0%,2.0%,2.0%,1.1%,2.0%,2.0%,1.1%,#DIV/0!,0.8%,0.8%,0.8%,2.0%,1.1%,0.8%,1.1%,2.0%,1.1%,2.0%,2.0%,#DIV/0!,0.8%,0.8%,2.0%,0.8%,0.9%,0.8%,0.9%,2.0%,0.8%,0.7%,2.0%,2.0%,#DIV/0!,2.0%,2.0%,2.0%,0.8%,1.1%,1.1%,#DIV/0!,1.1%,0.9%,1.1%,0.8%,1.1%,0.8%,0.9%,0.9%,0.8%,2.0%,2.0%,0.8%,0.8%,0.8%,1.1%,2.0%,0.9%,0.7%,2.0%,0.7%,0.9%,1.1%,0.9%,2.0%,0.9%,2.0%,2.0%,2.0%,#DIV/0!,0.9%,2.0%,0.8%,0.8%,0.8%,2.0%,0.7%,2.0%,1.1%,0.8%,2.0%,0.9%,0.8%,0.9%,2.0%,2.0%,#DIV/0!,2.0%,2.0%,0.9%,2.0%,#DIV/0!,2.0%,2.0%,1.1%,0.8%,0.8%,0.9%,0.9%,0.8%,2.0%,0.9%,1.1%,1.1%,0.9%,0.9%,0.9%,0.8%,1.1%,#DIV/0!,0.8%,1.1%,2.0%,2.0%,#DIV/0!,0.8%,0.7%,2.0%,2.0%,2.0%,2.0%,0.9%,2.0%,1.1%,0.8%,#DIV/0!,0.8%,2.0%,2.0%,1.1%,0.8%,0.8%,0.8%,#DIV/0!,2.0%,2.0%,0.9%,0.7%,0.7%,0.9%,0.9%,1.1%,2.0%,0.8%,0.9%,#DIV/0!,2.0%,2.0%,0.7%,1.1%,0.8%,0.7%,1.1%,0.9%,0.9%,0.9%,2.0%,2.0%,2.0%,2.0%
2126,0.9%,2.0%,0.8%,#DIV/0!,2.0%,1.1%,0.7%,1.1%,0.8%,0.8%,0.7%,2.0%,0.8%,2.0%,2.0%,0.9%,0.8%,2.0%,1.1%,0.8%,0.7%,1.1%,1.1%,1.1%,1.1%,1.1%,0.9%,0.9%,2.0%,2.0%,0.8%,0.8%,1.1%,0.9%,2.0%,2.0%,2.0%,2.0%,1.1%,2.0%,2.0%,1.1%,#DIV/0!,0.8%,0.8%,0.8%,2.0%,1.1%,0.8%,1.1%,2.0%,1.1%,2.0%,2.0%,#DIV/0!,0.8%,0.8%,2.0%,0.8%,0.9%,0.8%,0.9%,2.0%,0.8%,0.7%,2.0%,2.0%,#DIV/0!,2.0%,2.0%,2.0%,0.8%,1.1%,1.1%,#DIV/0!,1.1%,0.9%,1.1%,0.8%,1.1%,0.8%,0.9%,0.9%,0.8%,2.0%,2.0%,0.8%,0.8%,0.8%,1.1%,2.0%,0.9%,0.7%,2.0%,0.7%,0.9%,1.1%,0.9%,2.0%,0.9%,2.0%,2.0%,2.0%,#DIV/0!,0.9%,2.0%,0.8%,0.8%,0.8%,2.0%,0.7%,2.0%,1.1%,0.8%,2.0%,0.9%,0.8%,0.9%,2.0%,2.0%,#DIV/0!,2.0%,2.0%,0.9%,2.0%,#DIV/0!,2.0%,2.0%,1.1%,0.8%,0.8%,0.9%,0.9%,0.8%,2.0%,0.9%,1.1%,1.1%,0.9%,0.9%,0.9%,0.8%,1.1%,#DIV/0!,0.8%,1.1%,2.0%,2.0%,#DIV/0!,0.8%,0.7%,2.0%,2.0%,2.0%,2.0%,0.9%,2.0%,1.1%,0.8%,#DIV/0!,0.8%,2.0%,2.0%,1.1%,0.8%,0.8%,0.8%,#DIV/0!,2.0%,2.0%,0.9%,0.7%,0.7%,0.9%,0.9%,1.1%,2.0%,0.8%,0.9%,#DIV/0!,2.0%,2.0%,0.7%,1.1%,0.8%,0.7%,1.1%,0.9%,0.9%,0.9%,2.0%,2.0%,2.0%,2.0%
2127,0.9%,2.0%,0.8%,#DIV/0!,2.0%,1.1%,0.7%,1.1%,0.8%,0.8%,0.7%,2.0%,0.8%,2.0%,2.0%,0.9%,0.8%,2.0%,1.1%,0.8%,0.7%,1.1%,1.1%,1.1%,1.1%,1.1%,0.9%,0.9%,2.0%,2.0%,0.8%,0.8%,1.1%,0.9%,2.0%,2.0%,2.0%,2.0%,1.1%,2.0%,2.0%,1.1%,#DIV/0!,0.8%,0.8%,0.8%,2.0%,1.1%,0.8%,1.1%,2.0%,1.1%,2.0%,2.0%,#DIV/0!,0.8%,0.8%,2.0%,0.8%,0.9%,0.8%,0.9%,2.0%,0.8%,0.7%,2.0%,2.0%,#DIV/0!,2.0%,2.0%,2.0%,0.8%,1.1%,1.1%,#DIV/0!,1.1%,0.9%,1.1%,0.8%,1.1%,0.8%,0.9%,0.9%,0.8%,2.0%,2.0%,0.8%,0.8%,0.8%,1.1%,2.0%,0.9%,0.7%,2.0%,0.7%,0.9%,1.1%,0.9%,2.0%,0.9%,2.0%,2.0%,2.0%,#DIV/0!,0.9%,2.0%,0.8%,0.8%,0.8%,2.0%,0.7%,2.0%,1.1%,0.8%,2.0%,0.9%,0.8%,0.9%,2.0%,2.0%,#DIV/0!,2.0%,2.0%,0.9%,2.0%,#DIV/0!,2.0%,2.0%,1.1%,0.8%,0.8%,0.9%,0.9%,0.8%,2.0%,0.9%,1.1%,1.1%,0.9%,0.9%,0.9%,0.8%,1.1%,#DIV/0!,0.8%,1.1%,2.0%,2.0%,#DIV/0!,0.8%,0.7%,2.0%,2.0%,2.0%,2.0%,0.9%,2.0%,1.1%,0.8%,#DIV/0!,0.8%,2.0%,2.0%,1.1%,0.8%,0.8%,0.8%,#DIV/0!,2.0%,2.0%,0.9%,0.7%,0.7%,0.9%,0.9%,1.1%,2.0%,0.8%,0.9%,#DIV/0!,2.0%,2.0%,0.7%,1.1%,0.8%,0.7%,1.1%,0.9%,0.9%,0.9%,2.0%,2.0%,2.0%,2.0%
2128,0.9%,2.0%,0.7%,#DIV/0!,2.0%,1.1%,0.7%,1.1%,0.7%,0.7%,0.7%,2.0%,0.7%,2.0%,2.0%,0.9%,0.7%,2.0%,1.1%,0.7%,0.7%,1.1%,1.1%,1.1%,1.1%,1.1%,0.9%,0.9%,2.0%,2.0%,0.7%,0.7%,1.1%,0.9%,2.0%,2.0%,2.0%,2.0%,1.1%,2.0%,2.0%,1.1%,#DIV/0!,0.7%,0.7%,0.7%,2.0%,1.1%,0.7%,1.1%,2.0%,1.1%,2.0%,2.0%,#DIV/0!,0.7%,0.7%,2.0%,0.7%,0.9%,0.7%,0.9%,2.0%,0.7%,0.7%,2.0%,2.0%,#DIV/0!,2.0%,2.0%,2.0%,0.7%,1.1%,1.1%,#DIV/0!,1.1%,0.9%,1.1%,0.7%,1.1%,0.7%,0.9%,0.9%,0.7%,2.0%,2.0%,0.7%,0.7%,0.7%,1.1%,2.0%,0.9%,0.7%,2.0%,0.7%,0.9%,1.1%,0.9%,2.0%,0.9%,2.0%,2.0%,2.0%,#DIV/0!,0.9%,2.0%,0.7%,0.7%,0.7%,2.0%,0.7%,2.0%,1.1%,0.7%,2.0%,0.9%,0.7%,0.9%,2.0%,2.0%,#DIV/0!,2.0%,2.0%,0.9%,2.0%,#DIV/0!,2.0%,2.0%,1.1%,0.7%,0.7%,0.9%,0.9%,0.7%,2.0%,0.9%,1.1%,1.1%,0.9%,0.9%,0.9%,0.7%,1.1%,#DIV/0!,0.7%,1.1%,2.0%,2.0%,#DIV/0!,0.7%,0.7%,2.0%,2.0%,2.0%,2.0%,0.9%,2.0%,1.1%,0.7%,#DIV/0!,0.7%,2.0%,2.0%,1.1%,0.7%,0.7%,0.7%,#DIV/0!,2.0%,2.0%,0.9%,0.7%,0.7%,0.9%,0.9%,1.1%,2.0%,0.7%,0.9%,#DIV/0!,2.0%,2.0%,0.7%,1.1%,0.7%,0.7%,1.1%,0.9%,0.9%,0.9%,2.0%,2.0%,2.0%,2.0%
2129,0.9%,1.9%,0.7%,#DIV/0!,1.9%,1.1%,0.7%,1.1%,0.7%,0.7%,0.7%,1.9%,0.7%,1.9%,1.9%,0.9%,0.7%,1.9%,1.1%,0.7%,0.7%,1.1%,1.1%,1.1%,1.1%,1.1%,0.9%,0.9%,1.9%,1.9%,0.7%,0.7%,1.1%,0.9%,1.9%,1.9%,1.9%,1.9%,1.1%,1.9%,1.9%,1.1%,#DIV/0!,0.7%,0.7%,0.7%,1.9%,1.1%,0.7%,1.1%,1.9%,1.1%,1.9%,1.9%,#DIV/0!,0.7%,0.7%,1.9%,0.7%,0.9%,0.7%,0.9%,1.9%,0.7%,0.7%,1.9%,1.9%,#DIV/0!,1.9%,1.9%,1.9%,0.7%,1.1%,1.1%,#DIV/0!,1.1%,0.9%,1.1%,0.7%,1.1%,0.7%,0.9%,0.9%,0.7%,1.9%,1.9%,0.7%,0.7%,0.7%,1.1%,1.9%,0.9%,0.7%,1.9%,0.7%,0.9%,1.1%,0.9%,1.9%,0.9%,1.9%,1.9%,1.9%,#DIV/0!,0.9%,1.9%,0.7%,0.7%,0.7%,1.9%,0.7%,1.9%,1.1%,0.7%,1.9%,0.9%,0.7%,0.9%,1.9%,1.9%,#DIV/0!,1.9%,1.9%,0.9%,1.9%,#DIV/0!,1.9%,1.9%,1.1%,0.7%,0.7%,0.9%,0.9%,0.7%,1.9%,0.9%,1.1%,1.1%,0.9%,0.9%,0.9%,0.7%,1.1%,#DIV/0!,0.7%,1.1%,1.9%,1.9%,#DIV/0!,0.7%,0.7%,1.9%,1.9%,1.9%,1.9%,0.9%,1.9%,1.1%,0.7%,#DIV/0!,0.7%,1.9%,1.9%,1.1%,0.7%,0.7%,0.7%,#DIV/0!,1.9%,1.9%,0.9%,0.7%,0.7%,0.9%,0.9%,1.1%,1.9%,0.7%,0.9%,#DIV/0!,1.9%,1.9%,0.7%,1.1%,0.7%,0.7%,1.1%,0.9%,0.9%,0.9%,1.9%,1.9%,1.9%,1.9%
